Topic,Question,Answer
Тире,Национальный театр драмы имени известного алтайского поэта Павла Кучияка (1) это главная культурная достопримечательность столицы Республики Алтай. Здание театра выполнено в стиле традиционного жилища коренных народов (2) благодаря чему (3) его четырёхгранную крышу (4) можно увидеть едва ли не из любой точки города. Помимо четырёхгранного конуса крыши (5) особое внимание привлекает гармоничное сочетание белого и голубого цветов. Это сочетание (6) одна из традиционных особенностей кочевого стиля.,"1,6  "
Запятая,Красивая природа (1) обилие бурных рек (2) и живописных озёр (3) удивительные памятники истории (4) превращают Русский Север в райский уголок. Каким бы ни был круг ваших интересов (5) оказавшись в этих краях (6) Вы почувствуете себя как дома. Уставшему (7) горожанину (8) стоит поселиться в деревенском доме у озера (9) и насладиться мастерством древних зодчих.,"1,3,5,6  "
Запятая,В Александрии работало немало выдающихся учёных (1) среди (2) которых географ и математик Эратосфен (3) сумевший вычислить диаметр Земли с высокой по тем временам точностью (4) математик Эвклид (5) написавший 13 томов «Начал» геометрии (6) астроном Аристарх Самосский (7) почти за две тысячи лет до Коперника установивший (8) что Земля  — шар (9) вращающийся вокруг Солнца.,"1,3,4,5,6,7,8,9  "
Запятая,К счастью(1) окраины ледяных полей были сильно поломаны(2) айсберги отсутствовали(3) и только иногда(4) гряды мелкого льда(5) нагроможденные местами(6) представляли серьезную опасность.,"1,2,3,5,6  "
Запятая,Только вечером в весеннем лесу начинаешь понимать (1) что такое настоящая тишина (2) ибо то (3) что мы обычно принимаем за неё (4) есть постоянный и привычный шум. Он как фон радиоволн и помех в наушниках (5) на который не обращаешь внимания (6) улавливая нужный сигнал. Тишина весеннего неодетого леса наполнена голосами птиц (7) шорохом подсыхающей листвы и (8) падающих с ветвей (9) кáпель.,"1,2,3,4,5,6,7  "
Двоеточие,Константин Мельников (1) классик русского архитектурного авангарда. По его проектам были созданы самые необычные здания Москвы (2) Клуб имени Русакова (3) гараж Госплана (4) здание конторы Ново-Сухаревского рынка (5) дом-мастерская самого архитектора. Примечательно (6) что территорию Ново-Сухаревского рынка Мельников обустроил рационально (7) продавцы получили постоянные места для торговли (8) а покупатели могли сразу увидеть товары целого ряда.,"2,7  "
Запятая,В раскопках под Новгородом(1) которые велись в продолжение десяти лет(2) были найдены сверхинтересные(3) берестяные грамоты(4) свидетельствующие о том(5) что восточные славяне обладали сравнительно высоким уровнем письма(6) подтверждая тем самым факт(7) что Русь была страной(8) высокой и прекрасной письменной культуры.,"1,2,4,5,6,7  "
Запятая,Музей деревянного зодчества в Суздале (1) это комплекс (2) под открытым небом (3) где собраны уникальные постройки XVII—XIX веков (4) и до мельчайших деталей воссозданы крестьянский и купеческий быт царских времён. Здесь (5) можно заглянуть в избу простого батрака и зажиточного крестьянина (6) стать гостем купеческого дома и заодно побывать в двух церквях (7) возведённых (8) кстати (9) без единого гвоздя.,"3,6,7,8,9  "
Запятая,Может быть(1) нам предстоит узнать именно сегодня(2) когда(3) человеку важно связать(4) в своем сознании новейшие данные об элементарных частицах(5) о «белых карликах» и «черных дырах» Вселенной(6) с белоснежностью ромашек на лесных полянах(7) с роскошными пульсирующими созвездиями над головой.,"1,2,5,7  "
Тире,"И. К. Айвазовский (1) один из самых известных художников-пейзажистов России. Основная тема его творчества (2) море. Захватывающие (3) поражающие воображение (4) баталии и битвы на морских просторах (5) вот за что (6) так горячо любимы всеми (7) картины И. К. Айвазовского. Высокую оценку творчеству художника давали многие его современники. «В его буре есть упоение, есть та вечная красота, которая поражает зрителя в живой настоящей буре», (8) писал об Иване Константиновиче Ф. М. Достоевский. А художник И. Н. Крамской отмечал (9) «Айвазовский, кто бы и что ни говорил, есть звезда первой величины, во всяком случае; и не только у нас, а в истории искусства вообще».","1,2,5,8  "
Двоеточие,"Горы Шиханы (1) уникальный и неповторимый природный памятник в Башкирии, беспристрастные свидетели процессов, которые происходили на этой территории миллионы лет назад. Шиханы состоят из четырёх гор-одиночек (2) Торатау (3) Шахтау (4) Юрактау и Куштау (5) образующих узкую цепочку (6) вытянутую вдоль реки Белой на 20 км. Несомненно одно (7) горы Шиханы представляют ценность и для градообразующего предприятия (8) и для истории (9) потому что подобные горы остались только в Австралии.","2,7  "
Кавычки,"Известно огромное количество картин с названием (1)Селигер(2). Все они посвящены озеру, точнее, целому царству, состоящему из озёр, проток, каналов и живописных островов. В озеро впадает множество рек и речушек, но запасы воды оно, подобно скупому хозяину, отдаёт через небольшую речку (3)Селижаровку(4) только (5)Волге(6). Живописная природа этого края напоминает иллюстрации к русским сказкам. (7)И озеро в тихом вечернем огне лежит в глубине, неподвижно сияя, и сосны, как свечи, стоят в вышине, смыкаясь рядами от края до края(8)  — эти строки Н. А. Заболоцкого словно переносят нас на берег этого чудесного озера.","1,2,7,8  "
Запятая,Кремль (1) самая древняя часть столицы России (2) расположенная на берегу Москвы-реки. Именно здесь (3) на Боровицком холме (4) ещё в середине XII века князь Юрий Долгорукий основал свою усадьбу-крепость (5) впервые упомянутую в 1147 году. Примечательно (6) что стены и башни Кремля были воздвигнуты из красного кирпича (7) на месте прежних белокаменных в конце XV века (8) а колокольня Ивана Великого (9) самое высокое здание на Руси тех времён.,"2,3,4,5,6,8  "
Тире,Художественные изделия из берёсты (1) оригинальный вид народного творчества. Берёста привлекала внимание народных умельцев тем (2) что при обработке она сохраняла все свои свойства. Берёста (3) как материал для бытовых изделий привлекала народных мастеров с давних пор. Кузовки (4) короба для муки и мёда (5) лукошки и пастушечьи рожки (6) канаты для рыболовных снастей и солонки (7) всё это делалось из берёсты. А в строительстве берёсту использовали (8) в качестве изолятора от сырости. Благодаря водонепроницаемости и антисептическим свойствам берёста (9) предохраняла дерево от гниения.,"1,7  "
Запятая,Продолжая держаться лапой за ушибленное место(1) медвежонок стремительно кинулся через речку(2) схватил маленького братишку за шиворот(3) и(4) всё ещё вскрикивая(5) переволок его(6) через глубокое место.,"1,2,4,5  "
Запятая,Для изучения русской деревянной архитектуры XVI−XVII веков (1) мы располагаем немногочисленными (2) но довольно разнообразными источниками (3) рисунками иностранных путешественников (4) планами (5) отдельных городов и селений (6) которые составлялись при строительстве новых городов-крепостей (7) или при перестройке старых (8) а также для разбора самых сложных земельных тяжб.,"2,4,6,8  "
Запятая,Жаворонки (1) едва различимые (2) в воздухе (3) заливались над степью (4) конца и края которой (5) не было видно (6) и сообщали (7) ещё не проснувшимся (8) жителям о долгожданном восходе солнца.,"1,3,4,6  "
Запятая,Он часто возвращался к матери(1) прижимался к ней(2) и(3) когда барин спрашивал его(4) хорошо ли ему на даче(5) улыбаясь(6) отвечал: «Хорошо!»,"1,3,4,5,6  "
Запятая,Из всего списка российских и мировых достопримечательностей (1) которыми буквально «напичкан» Санкт-Петербург (2) всё же можно выделить несколько наиболее знаковых (3) Исаакиевский собор (4) храм Спаса на Крови (5) Петропавловскую крепость. Примечательны также (6) знаменитые разводные мосты (7) наиболее живописным и самым фотографируемым (8) из которых (9) считается Дворцовый мост.,"1,2,4,5,7  "
Запятая,В четком строю(1) то выныривая(2) то пропадая(3) дельфины промелькнули по левому борту(4) и мне показалось(5) что они бегут(6) будто спасаясь(7) от чего-то.,"1,2,3,4,5,6  "
Запятая,Дерево (1) материал недолговечный (2) а время и пожары сделали своё дело. Именно из-за них (3) до наших дней не дошли многие выдающиеся сооружения (4) о которых мы знаем только из летописей. При этом центральные районы России (5) почти не сохранили памятники деревянного зодчества. И только некоторые области Поволжья (6) Урала (7) Сибири и Севера (8) донесли до нас образцы этого высокого искусства.,"2,4,6,7  "
Запятая,Когда я гляжу на трубящего ангела(1) написанного на западной арке продольной части храма(2) когда думаю об этом прекрасном образе(3) рожденном чувством гармонии(4) ясностью духа(5) плавной чистотой линий(6) и красок(7) то невольно воспринимаю встречу с чудом искусства(8) как встречу с самим творцом художественного совершенства.,"1,2,3,4,5,7  "
Запятая,Осень делала дали нежно-голубыми и глубокими (1) а небо чистым и кротким. Она убирала и берёзу в золотой убор. Берёза радовалась (2) и не замечала (3) как недолговечен этот убор (4) как листок за листком осыпается он (5) пока наконец не оставалась вся раздетая на золотистом ковре. Она (6) очарованная осенью (7) вся сияла.,"1,3,4,5,6,7  "
Тире,Говорят (1) что архитектура (2) душа народа (3) воплощённая в камне (4) но к Руси это относится лишь с некоторой поправкой. Долгие годы Русь была страной деревянной (5) и её крепости (6) терема и избы строились из дерева (7) поскольку дерево для русского человека (8) возможность воплощения строительной красоты (9) чувства пропорций и слияния архитектурных сооружений с окружающей природой.,"2,8  "
Запятая,Когда пригрело солнце(1) и коровы легли на траву отдыхать(2) пастух(3) расстегнув ворот синей рубашки(4) сняв старую шляпу(5) сел на ствол(6) поваленной берёзы(7) и занялся лещом.,"2,3,4,5  "
Запятая,В годы Великой Отечественной войны (1) сотрудники музея пытались уберечь памятники Царского Села от вандалов. Памятник А. С. Пушкину и бронзовую фигуру фонтана «Девушка с кувшином» (2) удалось сохранить (3) закопав в землю (4) а вот Чесменскую колонну (5) установленную в память о военных победах (6) спрятать не смогли. Немецкие захватчики (7) пытались сбросить её в пруд танками (8) но пострадали лишь барельефы с пьедестала.,"3,4,5,6,8  "
Запятая,Казалось(1) что кто-то тихо вздыхал среди глубокой(2) холодной ночи(3) и клубы пара(4) вылетавшие из гигантской груди(5) бесшумно проносились по небу от края (6) и затем тихо угасали в глубокой синеве.,"1,4,5  "
Запятая,Тихо было на небе(1) и на земле(2) только изредка набегал прохладный ветер(3) с востока(4) приподнимая гриву лошадей(5) покрытую инеем.,"2,4,5  "
Тире,В нашей стране первая консерватория открылась (1) в 1862 году в Петербурге. Её основатель (2) Антон Григорьевич Рубинштейн. Прекрасный композитор и выдающийся пианист (3) неутомимый пропагандист музыкальной культуры и музыкальных знаний (4) так характеризовали его современники. Обязательное условие для поступления в консерваторию (5) определённый уровень профессиональной подготовки. Взрослые ученики часто совмещали музыкальные занятия с обучением в университете или со службой. Для младших существовали научные классы (6) в которых ученики получали (7) примерно такое же общее образование (8) какое давала гимназия.,"2,4,5  "
Запятая,Русский музей (1) это крупнейший в мире музей русского искусства (2) уникальный архитектурно-художественный комплекс (3) в историческом центре Санкт-Петербурга (4) а также первый в стране государственный музей русского изобразительного искусства. Решение о его основании (5) было принято Александром III (6) но только спустя некоторое время (7) Николай II подписал указ (8) «Об учреждении особого установления под названием „Русский музей Императора Александра III”».,"2,4,6  "
Запятая,Сквозь (1) набиравшую всё большую силу (2) пургу я (3) напрягая зрение (4) старался разглядеть вдали маленький домик (5) который был засыпан снегом по самые окна так (6) что отыскать его среди (7) окружавших меня со всех сторон (8) сугробов представлялось задачей не просто трудной (9) но невозможной.,"3,4,5,6,9  "
Запятая,Водопад Серебряные струи (1) спрятавшийся среди заповедного букового леса в Большом каньоне (2) считается одной из достопримечательностей Крыма. Это (3) покрытая зелёной моховой «шапкой» (4) скала (5) по которой стекают тоненькие потоки воды (6) и падают затем с высоты 6 метров. В ясную погоду струи воды водопада переливаются на солнце (7) играя серебром (8) и становится понятно (9) откуда взялось такое живописное название.,"1,2,5,7,8,9  "
Запятая,Однажды(1) возвращаясь из Петровского(2) я заблудился в лесных оврагах(3) где под корнями дубов(4) вязов(5) и клёнов бормотали неугомонные ручьи(6) а на дне самых больших оврагов(7) можно было угодить (8)и в маленькие озёрца.,"1,2,3,4,6  "
Запятая,Церковь Покрова на Нерли (1) это шедевр архитектуры (2) признанный во всём мире (3) и (4) вошедший в список Всемирного наследия ЮНЕСКО в составе «Белокаменных памятников Владимира и Суздаля». Этот уникальный памятник (5) считается одним из самых поэтичных памятников древнего зодчества владимиро-суздальской школы. Белую церковь (6) окружённую зеленью лугов (7) устремлённую строгим куполом к синему небу (8) называют поэмой (9) запечатлённой в камне.,"2,6,7,8,9  "
Двоеточие,Мы редко замечаем (1) как прекрасна русская природа. В ней поражает всё (2) и бескрайние озёра (3) и душистые луга. Каждый звук здесь отзывается в сердце (4) летом (5) шелест берёз и многолетних дубов (6) зимой (7) похрустывание снега под ногами. Называя явления природы шедеврами (8) К. Г. Паустовский писал (9) «Разве не шедевр этот клик журавлей и их величавый перелёт по неизменным в течение многих тысячелетий воздушным дорогам?»,"2,4,9  "
Запятая,В такие летние сумерки(1) хорошо войти в сухие сени(2) в низкие комнаты (3)с только что вымытыми полами(4) где уже горят лампы(5) и за открытыми окнами шумит от падающих капель(6) и дико пахнет заброшенный сад.,"2,4  "
Тире,Долина гейзеров (1) природная достопримечательность Камчатского края (2) расположенная в Кроноцком биосферном заповеднике. Уникальные термальные источники (3) грязевые котлы (4) водопады и озёра (5) всё это разбросано по каньону реки Гейзерной (6) где наблюдаются разнообразные природные условия (7) вмещающие в себя ландшафты нескольких географических поясов. Основа драматичных панорам заповедника (8) пышущие гейзеры (9) бурлящие и взрывающиеся сокрушительными потоками воды и пара.,"1,5,8  "
Запятая,Сегодня (1) в Наклонной башне города Невьянска Свердловской области находится филиал историко-архитектурного музея (2) а раньше в ней располагались заводской архив (3) лаборатория и рабочий кабинет (4) промышленника-предпринимателя Акинфия Демидова. Он построил в этих местах (5) каменный дом для своей семьи (6) а рядом с деревянной Преображенской церковью (7) воздвиг башню-колокольню (8) с девятью мини-этажами.,"2,3,6  "
Запятая,Некоторые уже улеглись на влажную(1) устланную осыпающейся хвоей(2) землю(3) жевали жёсткие солдатские сухари(4) копчёную колбасу(5) а кое-кто(6) открыв перочинным ножом жестяную банку(7) ел свиную тушёнку(8) намазывая её на тонко нарезанные(9) ломтики чёрствого хлеба.,"1,3,4,5,6,7,8  "
Запятая,В ситуации (1) когда мёрзнущего под дождём четвероногого друга не можешь оставить на улице (2) побывал почти каждый (3) но (4) к сожалению (5) не все знают (6) что делать с (7) найденным на улице (8) животным. Если вы решили помочь бездомной собаке (9) то нужно взять её за поводок и дать команду «домой».,"1,2,3,4,5,6,9  "
Запятая,По-моему(1) надо идти (2) в глубь леса(3) но мои подружки(4) врассыпную разбежавшиеся по поляне(5) уже сыплют в корзинки(6) кроваво-красные ягоды.,"1,3,4,5  "
Запятая,Мариинский театр (1) один из ведущих музыкальных театров России и мира (2) который ведёт свою историю с 1783 года (3) когда по указу Екатерины II была учреждена труппа (4) для представления драматических и оперных спектаклей (5) в только что открытом на Театральной площади Большом Каменном театре. А сегодня он располагается в здании (6) построенном архитектором Альберто Кавосом в 1859 году на противоположной стороне Театральной площади.,"2,3,6  "
Запятая,Вьюжными ночами(1) когда даже лесные гиганты стонут(2) трещат(3) и охают(4) когда небо сливается с землей(5) и неистово бухают подземные колокола(6) все живое старается укрыться в затишье: в домах(7) под раскидистой елью(8) между ее нижними лапами и землей(9) еще пахнущей занесенными сюда осенью листьями.,"1,2,4,6,7,8,9  "
Запятая,Музей льна и берёсты в Костроме (1) один из тех музеев (2) которые можно найти только в таких старых городах. Примечательно (3) что берёста и лён кажутся не слишком родственными материалами (4) но (5) если вспомнить (6) что наши далёкие предки носили в основном льняную одежду (7) а лапти долго были на Руси единственным общедоступным видом лёгкой обуви (8) становится понятно (9) почему лён и берёста соседствуют в одном музее.,"2,3,4,5,6,7,8,9  "
Запятая,За 75 лет(1) прошедших после гибели парохода «Челюскин»(2) и спасения всех (3)оказавшихся на льду людей(4) в печати появились десятки статей(5) легенд(6) фантастических и псевдонаучных публикаций(7) посвященных подготовке и ходу выполнения этого необычного (8)по тем временам рейса.,"1,4,5,6,7  "
Запятая,XVIII век является временем (1) когда Россия «вздохнула» по-новому (2) ведь именно тогда (3) начали отстраиваться новые города и объекты (4) которые по сей день считаются историческими памятниками архитектуры. При этом первая половина XVIII века (5) тесно связана с именем великого российского императора Петра I. Именно он (6) привнёс много новшеств (7) заимствованных (8) из стран Европы.,"1,2,4,7  "
Запятая,Слышалось иногда(1) как густым басом(2) гудит(3) пролетая где-то очень близко(4) невидимый жук(5) и как он(6) сухо шлепнувшись(7) о какое-то препятствие(8) сразу замолкает.,"1,3,4,6,8  "
Тире,Колокольня Ивана Великого (1) это церковь из белого кирпича (2) расположенная на Соборной площади Московского Кремля. Время её возведения (3) 1500–1508 годы (4) а проектом её создания (5) занимался известный в то время итальянский архитектор Бон Фрязин (6) спроектировавший столп колокольни (7) а также Успенскую звонницу (8) и Филаретову пристройку.,"1,3  "
Запятая,Увидев бравого бородача (1) шагавшего по улице в форменной шинели и фуражке (2) которую носили только офицеры (3) старушка (4) потрясённая известиями о стремительном движении деникинских частей (5) и о том (6) что они вошли в город с бесчисленным количеством вооружения (7) собранного силами (8) поддержавших деникинцев местных отрядов (9) не на шутку перепугалась.,"1,2,3,4,6,7,9  "
Тире,Тобольский государственный историко-архитектурный музей-заповедник (1) уникальный культурный центр (2) вобравший в себя много из исторического наследия Сибири. В настоящий момент (3) в фондах музея-заповедника насчитывается более 400 тысяч экспонатов. Этнографические (4) археологические и палеонтологические коллекции (5) коллекция старопечатных и рукописных книг (6) художественная резьба по кости и набор уникальных предметов из семьи Романовых (7) всё это самые ценные экспонаты (8) повествующие о богатом прошлом Сибири.,"1,7  "
Запятая,Впереди еще долгие жаркие(1) знойные (2)и просто теплые приятные деньки(3) когда солнце просыпается рано(4) а заходит очень нескоро(5) давая вволю нагуляться(6) прежде чем (7)погрузиться в сумерки.,"1,3,4,5,6  "
Запятая,Глубокая тишина(1) нарушаемая всплесками рыбы(2) да криками какой-то еще (3)не уснувшей птицы(4) возившейся неподалеку(5) казалось(6) лишь подчеркивала(7) неодолимое наступление ночного покоя.,"1,4,5,6  "
Запятая,Дом-музей Петра I в Вологде (1) именуемый «Петровским домиком» (2) служил резиденцией императора во время визитов в город. На фасаде здания сохранилась старинная каменная доска (3) на которой изображена рука (4) с зажатой секирой. До сих пор в музее хранятся камзолы Петра I (5) старинные стулья с голландским гербом на спинках (6) походные солдатские фляги с гравировкой. Всего (7) около 100 экспонатов (8) отражающих быт (9) и реалии того времени.,"1,2,3,5,6,8  "
Кавычки,"Единственный музей в России, где по древним чертежам воссоздают копии старинных русских судов и совершают на них дальние морские путешествия, моделируя по примеру Тура Хейердала старинные маршруты, называется (1) Полярный Одиссей (2) и находится в (3) Петрозаводске (4). Об этом уникальном месте говорят: (5) Это музей без границ (6). Главные экспонаты музея  — это действующие копии исторических деревянных парусных кораблей, которые представляют на различных морских фестивалях (7) Россию (8).","1,2,5,6  "
Запятая,Переминаясь с ноги на ногу (1) от холода (2) Дима (3) немного выждав (4) вновь постучал в (5) обитую толстой жестью (6) дверь (7) но (8) желанного отклика так и не последовало (9) и он направился домой.,"2,3,4,7,9  "
Запятая,Село Большое Болдино (1) притягивает к себе всех (2) кто неравнодушен к творчеству великого (3) русского писателя А. С. Пушкина. Каждый уголок этого исторического места способен вдохновить любого человека (4) однако (5) больше всего гости Болдинской усадьбы стремятся в знаменитый парк. К каскаду небольших прудов ведут дорожки (6) по которым когда-то прогуливался сам поэт. А возле барского дома растёт старая лиственница (7) посаженная (8) по преданию (9) Пушкиным.,"2,4,6,7,8,9  "
Запятая,Бросив последний взгляд на девушек (1) ждавших на берегу (2) Сергей наконец решился (3) и (4) глубоко выдохнув (5) нырнул с (6) раскачивающегося на ветру (7) моста в воду (8) обжигавшую утренней прохладой.,"1,2,4,5,8  "
Тире,Митрополичьи палаты в Ярославле (1) памятник архитектуры (2) заслуживающий внимательного осмотра и снаружи (3) и внутри. Они были построены в XVII веке (4) как резиденция митрополита ростовского и ярославского Ионы. С тех самых времён (5) они представляют собой (6) типичную для того времени городскую усадьбу. Двухэтажное здание самих палат (7) два флигеля (8) хозяйственные постройки и ещё домóвая церковь святителя Леонтия Ростовского (9) все эти архитектурные сооружения привлекают внимание туристов.,"1,9  "
Двоеточие,"В 1767 году Екатерина II сообщала в письме к Н. И. Панину (1) «Мы вчера, ввечеру, сюда приехали и нашли город (2) который всячески может слыть столицею большого царства». Считается (3) что именно после визита государыни (4) Казань начала развиваться семимильными шагами (5) строили церкви (6) заводы (7) учебные заведения (8) общественные учреждения и дома.","1,5  "
Запятая,Почти с любой точки Красноярска (1) видна старинная каменная часовня на вершине Караульной горы. Основатели города держали там караул. На вершине стояла сторожевая вышка (2) и с неё можно было издалека видеть приближение неприятеля. Когда такое случалось (3) караульные зажигали костёр (4) подавая знак (5) чтобы острог готовился к осаде. В память об этих мужественных людях (6) красноярцы на месте сторожевой вышки (7) поставили деревянную часовню (8) а позднее заменили её каменной.,"2,3,4,5,8  "
Тире,По мнению психологов (1) чувство (2) это внутреннее отношение человека к окружающему миру. Любовь и ненависть (3) страх и радость (4) эти и многие другие состояния человека (6) сформированы миллионами лет эволюции.,"2,4  "
